,date,type,volume,commission,swap,profit,fee,symbol
204,2023-09-11,0,0.1,-0.28,0.0,7.26,0.0,XAUUSD
162,2023-09-11,1,1.0,-2.75,0.0,18.46,0.0,GBPJPY
156,2023-09-11,1,1.0,-2.75,0.0,7.01,0.0,GBPJPY
157,2023-09-11,0,1.0,-2.75,0.0,0.0,0.0,GBPJPY
158,2023-09-11,1,1.0,-2.75,0.0,-22.29,0.0,GBPJPY
159,2023-09-11,0,1.0,-2.75,0.0,0.0,0.0,GBPJPY
160,2023-09-11,1,1.0,-2.75,0.0,-22.93,0.0,GBPJPY
161,2023-09-11,0,1.0,-2.75,0.0,0.0,0.0,GBPJPY
163,2023-09-11,0,0.1,-0.28,0.0,0.0,0.0,GBPJPY
171,2023-09-11,0,1.0,-2.75,0.0,-7.46,0.0,XAUUSD
164,2023-09-11,0,0.1,-0.28,0.0,0.0,0.0,GBPJPY
165,2023-09-11,0,0.1,-0.28,0.0,0.0,0.0,GBPJPY
166,2023-09-11,0,0.1,-0.28,0.0,0.0,0.0,GBPJPY
167,2023-09-11,0,0.1,-0.28,0.0,0.0,0.0,GBPJPY
168,2023-09-11,1,1.0,-2.75,0.0,0.0,0.0,XAUUSD
169,2023-09-11,0,1.0,-2.75,0.0,-5.59,0.0,XAUUSD
155,2023-09-11,0,1.0,-2.75,0.0,0.0,0.0,GBPJPY
153,2023-09-11,1,0.3,-0.83,0.0,-23.77,0.0,XAUUSD
152,2023-09-11,1,0.3,-0.83,0.0,-12.03,0.0,XAUUSD
151,2023-09-11,1,0.3,-0.83,0.0,-36.64,0.0,XAUUSD
150,2023-09-11,0,0.3,-0.83,0.0,0.0,0.0,XAUUSD
149,2023-09-11,0,0.3,-0.83,0.0,0.0,0.0,XAUUSD
148,2023-09-11,0,0.3,-0.83,0.0,0.0,0.0,GBPJPY
147,2023-09-11,0,0.3,-0.83,0.0,0.0,0.0,XAUUSD
146,2023-09-11,0,0.1,-0.28,0.0,-10.44,0.0,XAUUSD
145,2023-09-11,0,0.1,-0.28,0.0,-9.13,0.0,XAUUSD
144,2023-09-11,0,0.2,-0.55,0.0,-11.93,0.0,XAUUSD
143,2023-09-11,1,0.2,-0.55,0.0,0.0,0.0,XAUUSD
142,2023-09-11,1,0.1,-0.28,0.0,0.0,0.0,XAUUSD
141,2023-09-11,1,0.1,-0.28,0.0,0.0,0.0,XAUUSD
140,2023-09-11,0,0.02,-0.06,0.0,2.35,0.0,XAUUSD
139,2023-09-11,0,0.08,-0.22,0.0,6.11,0.0,XAUUSD
138,2023-09-11,1,0.1,-0.28,0.0,0.0,0.0,XAUUSD
170,2023-09-11,1,1.0,-2.75,0.0,0.0,0.0,XAUUSD
154,2023-09-11,1,0.3,-0.83,0.0,-1.53,0.0,GBPJPY
172,2023-09-11,0,1.0,-2.75,0.0,0.0,0.0,GBPJPY
197,2023-09-11,0,1.0,-2.75,0.0,0.0,0.0,XAUUSD
190,2023-09-11,0,0.3,-0.83,0.0,-26.86,0.0,XAUUSD
191,2023-09-11,0,0.1,-0.28,0.0,-9.7,0.0,XAUUSD
192,2023-09-11,0,0.1,-0.28,0.0,0.0,0.0,XAUUSD
193,2023-09-11,1,0.09,-0.25,0.0,9.23,0.0,XAUUSD
194,2023-09-11,1,0.01,-0.03,0.0,-0.05,0.0,XAUUSD
196,2023-09-11,0,1.0,-2.75,0.0,0.0,0.0,XAUUSD
198,2023-09-11,1,1.0,-2.75,0.0,13.02,0.0,XAUUSD
188,2023-09-11,1,0.1,-0.28,0.0,0.0,0.0,XAUUSD
199,2023-09-11,1,0.1,-0.28,0.0,0.0,0.0,XAUUSD
200,2023-09-11,1,0.2,-0.55,0.0,0.0,0.0,XAUUSD
201,2023-09-11,1,0.2,-0.55,0.0,0.0,0.0,XAUUSD
202,2023-09-11,0,0.2,-0.55,0.0,-1.3,0.0,XAUUSD
203,2023-09-11,0,0.2,-0.55,0.0,16.0,0.0,XAUUSD
173,2023-09-11,1,1.0,-2.75,0.0,36.79,0.0,GBPJPY
189,2023-09-11,1,0.3,-0.83,0.0,0.0,0.0,XAUUSD
195,2023-09-11,1,1.0,-2.75,0.0,0.0,0.0,XAUUSD
174,2023-09-11,1,0.1,-0.28,0.0,4.38,0.0,GBPJPY
181,2023-09-11,1,0.1,-0.28,0.0,0.0,0.0,XAUUSD
187,2023-09-11,0,0.1,-0.28,0.0,-1.4,0.0,XAUUSD
175,2023-09-11,1,0.1,-0.28,0.0,5.01,0.0,GBPJPY
